問題ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,分野,実施回
28-24,年次有給休暇に関する次の記述のうち、誤っているものはどれか。,週1日勤務の非正規労働者についても、6か月継続勤務し、出勤率が8割以上であれば、年次有給休暇の権利が与えられる。,全労働日の8割以上出勤することが年次有給休暇取得の要件とされるが、育児休業取得期間は出勤したものとみなされない。,時季変更権の行使にあたり、年次有給休暇の使途を尋ねることはさしつかえない。,時間単位で年次有給休暇を制度化するためには、労使協定を締結する必要がある。,2,年次有給休暇は、労働者の心身のリフレッシュと生活のゆとりのために重要な権利であり、労働基準法で定められています。キャリアコンサルタントは、労働者の権利に関する基本的な知識を持つことが求められます。選択肢1は、「週1日勤務の非正規労働者についても、6か月継続勤務し、出勤率が8割以上であれば、年次有給休暇の権利が与えられる」とあり、これは正しい記述です。パートタイム労働者など、所定労働日数が少ない労働者についても、労働日数に応じた年次有給休暇が付与されます。これは「比例付与」と呼ばれます。選択肢2は、「全労働日の8割以上出勤することが年次有給休暇取得の要件とされるが、育児休業取得期間は出勤したものとみなされない」とありますが、これが誤っている記述です。育児休業期間や介護休業期間、業務上の負傷・疾病による休業期間などは、年次有給休暇の出勤率算定においては「出勤したものとみなされる」とされています。これにより、育児休業などを取得した労働者が年次有給休暇の権利を不利益に扱われないよう保護されています。選択肢3は、「時季変更権の行使にあたり、年次有給休暇の使途を尋ねることはさしつかえない」とあり、これは正しい記述です。会社は、労働者が請求した時季に年次有給休暇を与えることが事業の正常な運営を妨げる場合に限り、他の時季に変更する「時季変更権」を行使できます。この際、使途を尋ねることは、時季変更権の行使の必要性を判断するために行われるものであり、直ちに不適切とはされません。ただし、使途によって時季変更権の行使の可否を判断することはできません。選択肢4は、「時間単位で年次有給休暇を制度化するためには、労使協定を締結する必要がある」とあり、これは正しい記述です。時間単位年休を導入するには、労働者の過半数で組織する労働組合がある場合はその労働組合と、ない場合は労働者の過半数を代表する者との間で労使協定を締結し、所轄労働基準監督署長に届け出る必要があります。したがって、年次有給休暇に関する記述のうち誤っているものは選択肢2です。,社会的意義,第28回
28-25,労働基準法上の労働時間に関する次の記述のうち、正しいものはどれか。,労働基準法上、労働時間に該当するか否かは、労働契約、就業規則等の定めに従う。,所定労働時間外に行われる企業外の研修・教育活動等は、実作業でないため、いかなる場合であっても労働基準法上の労働時間に該当しない。,警備業務に従事する労働者の仮眠時間は、実作業を伴わなくても警報が鳴った場合の対応が義務づけられる場合には、労働基準法上の労働時間に該当する。,飲食店等で、客の来店時の即時対応が義務付けられていたとしても、客がいないために雑談などして働いていない時間は、労働基準法上の労働時間に該当しない。,3,労働基準法上の労働時間に関する理解は、労働者の権利保護と企業の適切な労務管理のために不可欠であり、キャリアコンサルタントが労働相談に応じる上で重要な知識です。労働時間とは、労働者が使用者の指揮命令下に置かれている時間を指し、使用者の明示または黙示の指示により労働に従事する時間はもちろん、待機時間なども含まれる場合があります。選択肢1は、「労働基準法上、労働時間に該当するか否かは、労働契約、就業規則等の定めに従う」とありますが、これは誤りです。労働時間の該当性は、労働契約や就業規則の定めではなく、客観的に労働者が使用者の指揮命令下に置かれているか否かによって判断されます。契約や就業規則で労働時間とされていなくても、実態として指揮命令下にあれば労働時間とみなされます。選択肢2は、「所定労働時間外に行われる企業外の研修・教育活動等は、実作業でないため、いかなる場合であっても労働基準法上の労働時間に該当しない」とありますが、これも誤りです。企業外の研修・教育活動であっても、参加が義務付けられている場合や、業務上必須とされている場合など、実質的に使用者の指揮命令下に置かれていると判断される場合は、労働時間に該当します。選択肢3は、「警備業務に従事する労働者の仮眠時間は、実作業を伴わなくても警報が鳴った場合の対応が義務づけられる場合には、労働基準法上の労働時間に該当する」とあり、これが正しい記述です。仮眠時間であっても、警報対応など即座に対応する義務があり、労働から完全に解放されていない場合は、労働基準法上の労働時間とみなされます。これは、判例でも示されている考え方です。選択肢4は、「飲食店等で、客の来店時の即時対応が義務付けられていたとしても、客がいないために雑談などして働いていない時間は、労働基準法上の労働時間に該当しない」とありますが、これも誤りです。客の来店に即時対応する義務がある場合、客がいない時間であっても、労働者は待機しており、使用者の指揮命令下に置かれていると判断されます。このような時間は「手待ち時間」と呼ばれ、労働時間に該当します。したがって、労働基準法上の労働時間に関する記述として正しいものは選択肢3です。,社会的意義,第28回
28-26,労働者災害補償保険制度に関する次の記述のうち、正しいものはどれか。,労働者災害補償保険制度に関する費用は、原則として労働者の負担する保険料によってまかなわれている。,労働者災害補償保険は、5人以下の労働者を使用する事業所には適用されない。,労働者災害補償保険法が適用される労働者に、アルバイトやパートタイマーは含まれない。,労災年金給付等の算定の基礎となる給付基礎日額は、毎月勤労統計の平均給与額の変動等に応じて、毎年自動的に変更されている。,4,労働者災害補償保険（労災保険）制度は、業務上の事由または通勤による労働者の負傷、疾病、障害、死亡に対して保険給付を行う制度です。労働者の生活保障と福祉の増進を図る上で非常に重要であり、キャリアコンサルタントは、労働者の相談に応じる上でこの制度の知識が求められます。選択肢1は、「労働者災害補償保険制度に関する費用は、原則として労働者の負担する保険料によってまかなわれている」とありますが、これは誤りです。労災保険の保険料は、原則として全額事業主が負担します。労働者が保険料を負担することはありません。選択肢2は、「労働者災害補償保険は、5人以下の労働者を使用する事業所には適用されない」とありますが、これも誤りです。労災保険は、原則として労働者を使用するすべての事業に強制的に適用されます。事業所の規模や業種による適用除外はありません。選択肢3は、「労働者災害補償保険法が適用される労働者に、アルバイトやパートタイマーは含まれない」とありますが、これも誤りです。労災保険は、雇用形態にかかわらず、労働者として賃金を受けているすべての人が適用対象となります。アルバイトやパートタイマーも含まれます。選択肢4は、「労災年金給付等の算定の基礎となる給付基礎日額は、毎月勤労統計の平均給与額の変動等に応じて、毎年自動的に変更されている」とあり、これが正しい記述です。労災保険の年金給付額を算定する際の基礎となる給付基礎日額は、賃金水準の変動に対応するため、毎月勤労統計の平均給与額の変動率に応じて、毎年自動的に改定されます（スライド制）。これにより、長期にわたる給付の価値が維持されるようになっています。したがって、労災保険制度に関する記述として正しいものは選択肢4です。,社会的意義,第28回
28-27,「キャリア・パスポート」に関する次の記述のうち、不適切なものはどれか。,「キャリア・パスポート」は、教師にとっては、その記述をもとに対話的にかかわることによって、児童生徒の成長を促し、系統的な指導に資するものである。,「キャリア・パスポート」は、児童生徒にとっては、自らの学習状況やキャリア形成を見通したり振り返ったりして自己評価するものである。,「キャリア・パスポート」は、導入後、すべての小・中・高等学校で作成・活用されている。,「キャリア・パスポート」は、各地域・各学校における実態に応じ、学校間で連携しながら、柔軟な工夫を行うことが期待されている。,3,「キャリア・パスポート」は、文部科学省が推進する、児童生徒が自らの学習状況やキャリア形成を見通し、振り返り、自己評価を行うためのツールです。これは、キャリア教育の一環として、小・中・高等学校を通じて活用されることが期待されています。選択肢1は、「『キャリア・パスポート』は、教師にとっては、その記述をもとに対話的にかかわることによって、児童生徒の成長を促し、系統的な指導に資するものである」とあり、これは正しい記述です。教師はキャリア・パスポートを通じて児童生徒の学びのプロセスやキャリアへの意識を把握し、個別指導や進路指導に活用することができます。選択肢2は、「『キャリア・パスポート』は、児童生徒にとっては、自らの学習状況やキャリア形成を見通したり振り返ったりして自己評価するものである」とあり、これも正しい記述です。キャリア・パスポートの主な目的の一つは、児童生徒が主体的に自己の学びや成長を記録し、振り返ることで、自己理解を深め、キャリア形成への意識を高めることです。選択肢3は、「『キャリア・パスポート』は、導入後、すべての小・中・高等学校で作成・活用されている」とありますが、これが最も不適切な記述です。キャリア・パスポートは、文部科学省がその活用を推奨していますが、法的に義務付けられているわけではなく、すべての学校で一律に作成・活用されているわけではありません。各学校の判断や実情に応じて導入が進められています。選択肢4は、「『キャリア・パスポート』は、各地域・各学校における実態に応じ、学校間で連携しながら、柔軟な工夫を行うことが期待されている」とあり、これも正しい記述です。キャリア・パスポートの活用は、地域や学校の特色、児童生徒の発達段階に合わせて柔軟に行われることが求められています。したがって、キャリア・パスポートに関する記述として最も不適切なのは選択肢3です。,社会的意義,第28回
28-28,「インターンシップを始めとする学生のキャリア形成支援に係る取組の推進に当たっての基本的考え方」(文部科学省・厚生労働省・経済産業省、令和4年一部改正)で示された、インターンシップの意義に関する次の記述のうち、不適切なものはどれか。,インターンシップは企業等にとって、学生の仕事に対する能力を適正に評価するとともに、採用選考活動時における評価材料を取得することができる。,インターンシップであるオープン・カンパニーは、企業等の実態について学生の理解を促す一つの契機になり、自社の魅力発信としても有益な取組となる。,インターンシップは、大学等における教育内容・方法の改善・充実につながり、学生の新たな学習意欲を喚起する契機となることも期待できる。,インターンシップは、学生が自己の職業適性や将来設計について考える機会となり、主体的な職業選択や高い職業意識の育成が図られる。,2,インターンシップの意義に関する問題です。令和4年の一部改正では、インターンシップを4類型に分類しました。このうち、オープン・カンパニー（タイプ1）は、主に学生の企業理解を促進するための広報活動と位置づけられており、採用選考活動とは明確に区別されています。選択肢2はオープン・カンパニーをインターンシップの一環として述べていますが、この類型では採用選考に直接結びつくような評価は行わないこととされています。そのため、他の選択肢がインターンシップの一般的な意義として適切であるのに対し、この選択肢はオープン・カンパニーの限定的な役割を踏まえると、全体としての「インターンシップの意義」としては不適切な記述となります。,社会的意義,28
28-29,「生徒指導提要(改訂版)」(文部科学省、令和4年)で示された、生徒指導とキャリア教育に関する次の記述のうち、不適切なものはどれか。,キャリア教育は生徒指導とは異なる機能をもつ、児童生徒の社会的自己実現を支える唯一の教育活動であり、生徒指導においては、両者の異なる作用を理解した上で、個別の取り組みが大切である。,生徒指導では、日頃から児童生徒の社会的自立に向けた支援を行うことはもとより、生涯を見通したキャリア教育や適切な進路指導を行うことも大切である。,中途退学を余儀なくされる状態を未然に防ぐためには、生徒指導、キャリア教育・進路指導が連携し、小・中学校の段階も含め、生活、学業、進路のそれぞれの側面から社会的・職業的自立に向けて必要な基盤となる資質・能力を身に付けるように働きかけることが大切である。,生徒指導、進路指導・キャリア教育は、ガイダンスという範疇では同一の機能を持っており、進路の課題と生活の課題はつながっているという意識の下で支援を行うことが求められる。,1,生徒指導とキャリア教育の関係性についての問題です。「生徒指導提要」では、両者は密接に関連し、連携して児童生徒の成長を支えるべきものとされています。キャリア教育は重要な活動ですが、「唯一の教育活動」と断定している点、そして両者の連携よりも「個別の取り組みが大切」と強調している点が不適切です。実際には、両者の機能を理解した上で、有機的に連携させることが求められており、生活指導と進路指導は表裏一体の関係にあります。,社会的意義,28
28-30,発達障害のある人の特徴的な傾向や状況に関する次の記述のうち、最も不適切なものはどれか。,ADHD(注意欠如・多動性障害)のある人は、仕事に集中できない、仕事を先延ばしにしてしまい間に合わない、ケアレスミスが多い、机の上が常に散らかっているなどの傾向がみられる。,SLD(限局性学習障害)のある人は、必要な資料やマニュアルが読めない、時間がかかる、メモなどをとることができない、などの傾向がみられる。,ASD(自閉スペクトラム障害)のある人は、コミュニケーション不足から上司や同僚らと衝突する、適切な距離をとった関係が作れない、自分のやり方に固執する、などの特徴がみられる。,発達障害のある人は、職場の不適応が引き金になってその障害の特徴がより顕著になることはあるが、うつ病やパニック障害など、他の障害の特徴を示すことはほとんどない。,4,発達障害と二次障害に関する問題です。発達障害のある人は、その特性から周囲とのミスマッチが生じやすく、ストレスを抱えやすい状況にあります。その結果、うつ病、不安障害、パニック障害などの精神疾患（二次障害）を併発するケースは少なくありません。「他の障害の特徴を示すことはほとんどない」という記述は事実に反するため、不適切です。キャリアコンサルタントとして、二次障害の可能性も念頭に置いた上で、適切な支援や専門機関へのリファーを検討することが重要です。,知識と理論,28
28-31,メンタルヘルスケアに関する次の記述のうち、最も適切なものはどれか。,「職場における心の健康づくり (労働者の心の健康の保持増進のための指針)」 (独立行政法人労働者健康安全機構、2024年)によれば、メンタルヘルスケアは、「セルフケア」、「同僚によるケア」、「ラインによるケア」、「事業場外資源によるケア」の4つのケアに基づき展開される。,「令和5年 労働安全衛生調査(実態調査)の概況」(厚生労働省)によれば、職業生活に関することで、強いストレスとなっていると感じる事柄で最も多いのは、「対人関係(セクハラ・パワハラを含む。)」である。,ストレス反応は、心理的側面、行動的側面、身体的側面などに表れる。,事業者には、企業規模に関係なく、ストレスチェック制度を設けることが義務づけられている。,3,ストレス反応に関する基本的な知識を問う問題です。ストレス反応は、心理面（不安、イライラ、落ち込み）、行動面（遅刻、欠勤、ミス増加、飲酒量増加）、身体面（頭痛、肩こり、不眠、胃痛）など、多岐にわたって現れます。この記述は、ストレス反応の多様な側面を正しく捉えています。選択肢1は、「同僚によるケア」ではなく「事業場内産業保健スタッフ等によるケア」が正しい4つのケアの一つです。選択肢2は、同調査では「仕事の質・量」が最も多いストレス要因とされています。選択肢4は、ストレスチェックの義務化は常時50人以上の労働者を使用する事業場が対象です。,知識と理論,28
28-32,障害者への合理的配慮の事例に関する次の記述のうち、最も不適切なものはどれか。,聴覚障害の従業員が円滑に仕事ができるように、手話通訳者・要約筆記者を配置する。,身体障害者が通勤時のラッシュを避けるため、勤務時間を変更する。,視覚障害者の採用試験の問題を点訳・音訳する。,障害者と健常者が同じ環境で働けるようにするため、机の大きさや高さは他の従業員とそろえる。,4,合理的配慮の本質を理解しているかを問う問題です。合理的配慮とは、障害のある人がない人と同じように機会を得られるよう、個々の状況に応じて行われるべき調整や変更のことです。画一的に「同じ環境」を提供することが、かえって障壁となる場合があります。例えば、車いすを利用する人には、標準的な高さの机は使いづらく、高さ調整可能な机が必要です。「他の従業員とそろえる」という形式的な平等は、実質的な機会の平等を損なう可能性があり、合理的配慮の考え方とは異なるため不適切です。,倫理と行動,28
28-33,病気の治療と仕事の両立支援に関する次の記述のうち、適切なものの組み合わせはどれか。\nA. 労働者本人から支援を求める申し出がなされたことを端緒に取り組むことが基本となるため、申し出が行いやすい環境整備が重要である。\nB. 支援においては、相談者が治療に専念できるように離職を促すと同時に、治療期間中の経済的不安を取り除くための支援機関等を案内し、必要に応じて担当者に連絡をする。\nC. 就労によって疾病の増悪、再発や労働災害が生じないよう、就業上の措置や治療に対する配慮を行うことが就業の前提となるが、仕事の繁忙等、特別な理由がある場合は例外として認められる。\nD. 症状や治療方法などは個人ごとに大きく異なるため、個人ごとに取るべき対応やその時期等は異なるものであり、個別事例の特性に応じた配慮が必要である。,AとB,AとD,BとC,CとD,2,治療と仕事の両立支援に関する基本姿勢を問う問題です。支援の基本は、労働者本人の申し出から始まるため、プライバシーに配慮しつつ、相談しやすい環境を整えることが重要です（A）。また、病状や必要な配慮は一人ひとり異なるため、個別性に応じたきめ細やかな対応が不可欠です（D）。したがってAとDが適切です。Bのように安易に離職を促すのは両立支援の趣旨に反します。Cのように業務の都合で安全配慮を怠ることは許されません。,技能,28
28-34,キャリアコンサルティングにおける「キャリア」の意味や意義に関する次の記述のうち、最も適切なものはどれか。,キャリアとは、「職業」や「職務」のことである。,キャリアは、ある時点での「転機」や「移行」を指す言葉である。,キャリアという概念は、「個人の内的世界」に焦点を当てている。,キャリアは、「時間的流れ」、「時の経過」という意味を含んでいる。,4,キャリアの概念に関する問題です。現代のキャリア理論では、キャリアを単なる職業や職歴だけでなく、「生涯にわたる生き方そのもの」や「個人が生涯にわたって遂行する様々な役割の連鎖」と広く捉えます。この考え方の根底には、人生という時間軸の中で、経験が積み重なり、人が変化・成長していくという視点があります。したがって、「時間的流れ」「時の経過」という意味を含んでいるという記述が、キャリアの包括的な概念を最も的確に表しています。,知識と理論,28
28-35,カウンセリングにおけるクライエントとの信頼関係 (ラポール)に関する次の記述のうち、最も不適切なものはどれか。,クライエントの自己成長力が働き始めるためには、カウンセラーとクライエントとの信頼関係が必須である。,信頼関係とは、クライエント自身が脅かされず守られた感覚を持てること、ともに問題に取り組んでいけるという信頼感と意欲の醸成がなされる関係性のことである。,面接の初期段階で、クライエントの抱える問題の解決方法をできるだけ早く提案することが、信頼関係の構築につながる。,信頼関係をもとにして、語りや非言語メッセージからクライエントのニーズを的確に把握するよう努めることで、カウンセリングへの動機づけにもつながる。,3,カウンセリングの基本であるラポール（信頼関係）形成に関する問題です。ラポールは、クライエントが安心して自己開示できる安全な場を作ることで築かれます。面接の初期段階で性急に解決策を提案することは、クライエントに「自分の話を十分に聞いてもらえていない」という印象を与え、むしろ信頼関係の構築を妨げる可能性があります。まずは傾聴に徹し、クライエントの語りに寄り添うことが重要です。したがって、早期の解決策提案が信頼関係構築につながるとする記述は不適切です。,技能,28
28-36,構成的グループエンカウンターに関する次の記述のうち、不適切なものはどれか。,「ふれあい」 と 「自他発見」をねらいとしている。,「構成的」とは、枠を与えるという意味である。,ゲシュタルト療法を理論的根拠としている。,治療的カウンセリングの手法として考案された。,4,構成的グループエンカウンターに関する知識を問う問題です。構成的グループエンカウンターは、國分康孝らによって開発された、主に教育分野で活用されるグループアプローチです。自己理解や他者理解を深め、対人関係スキルを育成することを目的としており、治療を目的とした手法ではありません。そのため、「治療的カウンセリングの手法として考案された」という記述は不適切です。ゲシュタルト療法とは直接的な理論的根拠の関係にはなく、人間性心理学的なアプローチの一つと位置づけられています。,知識と理論,28
28-37,オンラインで提供されるマイジョブ・カードにおけるキャリア・プラン作成補助シートに関する次の記述のうち、最も不適切なものはどれか。,学生、在職者、求職者等あらゆる属性でも、一つの様式で作成することができる。,自分のキャリアや価値観に近い記入例を調べられる「記入例」 検索機能がある。,仕事を始めてから現在までをグラフで振り返ることができる「ライフラインチャート」 作成の機能がある。,キャリア・プラン作成補助シートの質問に答えることで、自分の価値観や、やりたいことが明確になる。,1,マイジョブ・カードの具体的な機能に関する問題です。マイジョブ・カードは、利用者の状況に応じて最適な支援ができるよう、対象者（在職者、求職者、学生など）ごとに異なる様式が用意されています。それぞれのライフステージや課題に合わせたキャリアプランニングを支援するためです。したがって、「あらゆる属性でも、一つの様式で作成することができる」という記述は事実と異なるため不適切です。,技能,28
28-38,カウンセリングにおける「見立て」に関する次の記述のうち、最も不適切なものはどれか。,見立てには、問題を同定すること、見通しを推察し治療目標の設定を図ることの2つの目的がある。,問題の同定とは、クライエントの悩みや問題点が何で、どうして、またどのようにその問題が形成されたのか、明らかにすることである。,問題の同定にあたっては、まず最初に精神医学的要因から検討する。,クライエントの問題や問題形成を考える際には、身体的要因、対人的・環境的要因、生育史や性格的要因などを組み合わせて理解する。,3,カウンセリングにおける見立て（アセスメント）の進め方に関する問題です。見立てとは、クライエントが抱える問題を多角的に理解するプロセスです。そのためには、身体的、心理的、社会的（対人関係、環境）、発達的（生育歴）など、様々な要因を統合的に検討する「生物心理社会モデル」の視点が重要です。「まず最初に精神医学的要因から検討する」というように、特定の要因を優先したり限定したりするアプローチは、クライエントの全体像を見誤る可能性があり、不適切です。,技能,28
28-39,job tag(職業情報提供サイト (日本版 O-NET)) の 「自己診断ツール」に含まれている心理テストに関する次の記述のうち、適切なものはどれか。,職業適性テスト (Gテスト)では、計算が必要な問題があるため、電卓を手元において受検する。,職業興味検査は、就職の可能性や労働条件を考えずに、その作業をやってみたいかどうか、直感的に思ったまま回答するとよい。,「しごとの価値観」は価値観検査であり、設問にある仕事を現実的にできるかどうかをしっかりと判断しながら回答することで、より正確な検査結果を得ることができる。,作業性格テストでは、様々な作業場面についての質問に答えると、作業性格プロフィールが示される。,2,職業興味検査の受け方に関する問題です。職業興味検査の目的は、個人の純粋な興味・関心の方向性を把握することです。そのため、給与や休日、就職の難易度といった現実的な条件をいったん脇に置き、「もしできるとしたら、やってみたいか、興味があるか」という直感で回答することが、より本質的な興味を探る上で有効です。したがって、この記述が最も適切です。他の選択肢は、ツールの使い方や内容について誤解があります。,知識と理論,28
28-40,キャリアコンサルティングにおける「自己理解の支援」に関する次の記述のうち、最も適切なものはどれか。,自己理解で最も大切なことは、相談者の肯定的な部分よりも否定的な部分に目を向けて振り返り、改善の方向性を考えることである。,"ホランド (Holland, J. L.)は、人間のパーソナリティと環境は8つに分けられるという考えを理論化した。",価値観を明らかにするため、必要に応じて、適切な検査を相談者との合意に基づいて行うのが良い。,ジョブ・カードは、職業能力の見える化、職業能力の証明を目的にしており、自己理解の促進は目的としていない。,3,自己理解支援の方法に関する問題です。自己理解を深めるためには、対話だけでなく、客観的なツールを活用することも有効です。特に価値観のような抽象的な概念を明らかにするために、価値観検査などのアセスメントツールを用いることは、相談者が自身の内面を整理し、気づきを得る助けとなります。その際、必ず相談者の同意を得て、結果を一方的に伝えるのではなく、対話の材料として用いることが重要です。したがって、この記述が最も適切です。,技能,28
28-41,「職業理解・職業情報」に関する次の記述のうち、最も不適切なものはどれか。,職業理解とは、職業、産業、事業所、雇用・経済・社会状況を理解することである。,日本標準職業分類においては、自分が属する世帯の家業に従事している家族従業者が行う仕事は、無給であれば職業とみなされない。,公的統計において、職業別統計をまとめるときは、日本標準職業分類を使用する。,厚生労働省編職業分類は、日本標準職業分類に準拠して設定されている。,2,職業の定義に関する知識を問う問題です。日本の公的統計の基準である日本標準職業分類では、「家族従業者」は、世帯の家業（農家や個人商店など）に無給で従事していても、一定時間以上（目安として1日2時間以上）働いていれば、職業として分類されます。これは、その労働が世帯の経済活動に貢献していると見なされるためです。したがって、「無給であれば職業とみなされない」という記述は誤りです。,知識と理論,28
28-42,職業体験の意義に関する次の記述のうち、最も不適切なものはどれか。,希望している職業について、イメージと合っているか、イメージどおりでなくとも許容範囲内にあるか、気づいていなかった問題点はないかなどを確認できる。,トライアル雇用の場合は、職場体験に加え、当該事業所への円滑な就職も期待できる。,働くことの楽しさ、やりがい、厳しさに触れることは、特に定年退職者の職業意識の向上や働く意義の理解の促進に対して有効である。,就職未経験者やブランクのある者においては、あらかじめ体験することで職業生活への円滑な移行が期待できる。,3,職業体験の対象者とその効果に関する問題です。職業体験は、これから職業選択を行う若者や、就労経験の少ない人、ブランクのある人などにとって、職業理解を深め、職業意識を醸成する上で非常に有効です。定年退職者にとっても無意味ではありませんが、「特に」有効であると対象者を限定するほどの強い関連性はありません。むしろ、これからキャリアをスタートさせる層にとっての意義の方が大きいと考えられるため、この記述は最も不適切と言えます。,社会的意義,28
28-43,システマティック・アプローチの一般的な指針に関する次の記述のうち、最も不適切なものはどれか。,キャリアコンサルタントは、ラポールづくりにおいては、クライエントと心理的な関係を確立することよりも、クライエントの問題がどこにあるかを明らかにすることが望ましい。,キャリアコンサルタントには、クライエントが何を求めているかを認識する能力が求められる。,キャリアコンサルタントには、クライエント自身に学習理論に基づく宿題を考えさせる力も必要である。,キャリアコンサルタントは、クライエント自身が持っている心配や困難などについてどのような変容を望み、どうしたらそれらができるかを、クライエント自らが認識できるように支援する必要がある。,1,カウンセリングの基本原則に関する問題です。システマティック・アプローチは体系的で計画的なアプローチですが、その土台にはクライエントとの信頼関係（ラポール）が不可欠です。クライエントが安心して話せる心理的な関係性を確立する前に、問題の特定を優先することは、クライエントの抵抗感や不信感を生みかねません。いかなるアプローチにおいても、ラポール形成は全ての支援の出発点です。したがって、問題の明確化をラポール確立より優先するべきだという記述は不適切です。,技能,28
28-44,次の記述のうち、「将来、海外の大学院でマネジメントを学びたい」という目標を持つクライエント(大学生)への意思決定のプロセスでの対応として、最も適切なものはどれか。,現在の大学での学業がおろそかにならないよう、当面は目の前の授業に注力するように指導し、目標の具体化は先送りにした。,大学生は情報収集力が十分ではないため、クライエントにとって最適な大学院をキャリアコンサルタントが判断し、情報収集を行ったうえでクライエントに紹介した。,語学力の向上に関しては短期的に達成可能な目標とともに中期、長期の目標を検討し、達成したかどうかの基準を明確にしたスモールステップを一緒に検討した。,クライエントが考えた具体的行動が現実的に実行が難しいと感じても、クライエントの意欲を尊重して背中を押した。,3,目標設定と行動計画の支援に関する実践的な問題です。遠大な目標を達成するためには、それを具体的な行動に落とし込むことが重要です。特に、達成可能で測定可能な小さな目標（スモールステップ）に分解し、短期・中期・長期の計画を立てることは、クライエントが目標達成への道筋を明確に描き、モチベーションを維持する上で非常に効果的な支援です。クライエントと「一緒に検討した」という協働的な姿勢も、キャリアコンサルティングの基本に沿っており、最も適切な対応です。,技能,28
28-45,方策の実行に関する次の記述のうち、最も適切なものはどれか。,応用行動分析に基づくならば、「仕事を探す気が起きない」と訴える求職者に対しては、「やる気がでない」ことの感情に焦点を当て、気持ちの整理や考え方の変容につながる介入を行う。,クライエント中心療法に基づくならば、「事務職を希望する」と話す求職者に対しては、職業ハンドブックなどに掲載される各種の事務職の特徴を解説し、具体的な求人を絞りこんで求職者に提示し、選んでもらう。,精神分析理論に基づくならば、「上司がどうしても好きになれない」と訴える求職者に対しては、過去の経験よりも未来のありたい姿に向けて検討してもらう。,認知行動的アプローチに基づくならば、「社会人としてやっていけるか不安である」と訴える大学生に対しては、不安が生じる自動思考を明確にし、より適切な思考を検討させる。,4,主要なカウンセリング理論と、それに基づく介入方法の理解を問う問題です。認知行動的アプローチでは、ある出来事そのものではなく、その出来事をどう捉えるか（認知）が感情や行動に影響を与えると考えます。したがって、「社会人としてやっていけるか不安」という感情の背景にある、非合理的な、あるいは根拠の乏しい考え（自動思考）を特定し、それをより現実的で適応的な考えに変えていくことを支援します。この記述は、認知行動的アプローチの基本的な介入プロセスを的確に示しています。,技能,28
28-46,方策の実行後の支援に関する次の記述のうち、最も適切なものはどれか。,目標の達成に向けた方策の実行後はクライエントの主体性に任せ、相談期間中であってもキャリアコンサルタントから進捗状況の確認を行うことは避けるべきである。,方策を実行した結果、目標を達成できなかった場合でも、目標は変えず、当初の計画どおりに実行できるように支援を行うことが望ましい。,目標が達成された場合でもすぐに支援を終了するのではなく、達成までのプロセスを振り返らせたり、未達成の項目がないか確認したりするなど、フォローアップを行うことが望ましい。,クライエントが新たな職場に就職したあとは本人の自立を促すため、クライエントから連絡があっても安易に応じるべきではない。,3,キャリアコンサルティングプロセスの終結期におけるフォローアップの重要性に関する問題です。目標達成はゴールであると同時に、クライエントにとって重要な成功体験です。そのプロセスを振り返ることで、クライエントは自身の強みや課題解決能力を再認識し、自己効力感を高めることができます。これが今後のキャリア自律につながります。したがって、すぐに支援を終了するのではなく、学びを定着させるためのフォローアップを行うことが望ましい対応です。,技能,28
28-47,「職場における学び・学び直し促進ガイドライン」(厚生労働省、令和4年6月)で示された、キャリアコンサルタントの推奨される取り組み例に関する次の記述のうち、最も適切なものはどれか。,キャリアコンサルタントが、学び・学び直しを行う労働者に対して、定期的な声かけや相談支援等により、学び・学び直しが進んでいるかを確認する仕組みを導入する。,学び・学び直しの継続に支障をきたしている者には、管理職等の現場リーダーが重点的に指導するのがよく、キャリアコンサルタントによる支援は行わないほうが良い。,「ジョブクラフティング」は、労働者が学び・学び直しを前向きに捉え直す有効な手法であり、よく訓練されたキャリアコンサルタントに限定した活用が想定されている。,キャリアコンサルタントは、企業と協働することなく、独自に学び・学び直しに関する支援策等の制度を積極的に推進する役割と実力が求められている。,1,企業内キャリアコンサルタントの役割に関する問題です。同ガイドラインでは、キャリアコンサルタントが労働者の主体的な学びを支援するために、組織的な仕組みを構築し、積極的に関与することを推奨しています。定期的な面談や声かけによって学習の進捗を確認し、モチベーション維持を支援することは、その具体的な取り組み例として挙げられており、最も適切な記述です。他の選択肢は、管理職との連携否定、ジョブクラフティングの限定的活用、企業との非協働など、ガイドラインの趣旨に反する内容となっています。,技能,28
